Name,Address,_2,_3,_4
Restaurant 360,Sv. Dominika B.B., Dubrovnik, 20000, Croatia
Boškinac,Škopaljska Ulica 220, Novalja, 53291, Croatia
Pelegrini,Jurja Dalmatinca 1, Sibenik, 22000, Croatia
Noel,Ulica Popa Dukljanina 1, Zagreb, 10000, Croatia
LD Restaurant,Don Pavla Poše 1-6, Korcula, 20260, Croatia
Monte,Montalbano 75, Rovinj, 52210, Croatia
Korak,Plešivica 34, Jastrebarsko, 10450, Croatia
Draga di Lovrana,Lovranska Draga 1, Lovran, 51415, Croatia
Agli Amici Rovinj,Šetalište Vijeća Europe 1-2, Rovinj, 52210, Croatia
Alfred Keller,Čikat 16, Mali Lošinj, 51550, Croatia
Nebo,Opatijska ulica 9, Rijeka, 51000, Croatia
Under,Bålyveien50, Lindesnes, 4521, Norway
DILL,Laugavegur 59, Reykjavík, 101, Iceland
Nour,Norrlandsgatan 24, Stockholm, 111 43, Sweden
noma,Refshalevej 96, Copenhagen, 1432 K, Denmark
Henne Kirkeby Kro,Strandvejen 234, Henne, 6854, Denmark
FAGN,Ørjaveita 4, Trondheim, 7010, Norway
Operakällaren,Operahuset, Karl XII's Torg, Stockholm, 111 86, Sweden
Finnjävel Salonki,Ainonkatu 3, Helsinki, 00100, Finland
Maaemo,Dronning Eufemias gate 23, Oslo, 0194, Norway
Villa Vest,Strandvejen 138, Lønstrup, 9800, Denmark
Sabi Omakase Stavanger,Pedersgata 38, Stavanger, 4013, Norway
Dragsholm Slot Gourmet,Dragsholm Allé, Hørve, 4534, Denmark
Signum,Hällsnäs Hotell,  Långenäsvägen 150, Mölnlycke, 435 35, Sweden
a|o|c,Dronningens Tværgade 2, Copenhagen, 1302 K, Denmark
Alchemist,Refshalevej 173C, Copenhagen, 1432 K, Denmark
K2,Pedersgata 69, Stavanger, 4013, Norway
MOTA,Annebergparken 50, Nykøbing Sjælland, 4500, Denmark
Etoile,Norra Stationsgatan 51, Stockholm, 113 44, Sweden
Sabi Omakase Oslo,Ruseløkkveien 3, Oslo, 0251, Norway
Kadeau Bornholm,Baunevej 18, Vestre Sømark Pedersker, Åkirkeby, Åkirkeby, 3720, Denmark
RE-NAA,Nordbøgata 8, Stavanger, 4006, Norway
HYDE,Rosteds Gate 15b, Oslo, 0178, Norway
28+,Götabergsgatan 28, Gothenburg, 411 34, Sweden
SK Mat & Människor,Johannebergsgatan 24, Gothenburg, 412 55, Sweden
Koan,Langeliniekaj 5, Copenhagen, 2100, Denmark
Statholdergaarden,Rådhusgate 11, Oslo, 0151, Norway
Jatak,Rantzausgade 39, Copenhagen, 2200 N, Denmark
Søllerød Kro,Søllerødvej 35, Copenhagen, 2840, Denmark
VÅR,Papinkatu 17, Porvoo, 06100, Finland
The Samuel,Hellerupvej 40, Copenhagen, 2900, Denmark
Aloë,Svartlösavägen 52, Stockholm, 125 33, Sweden
Adam / Albin,Rådmansgatan 16, Stockholm, 114 25, Sweden
PM & Vänner,Storgatan 22, Växjö, 352 31, Sweden
AIRA,Biskopsvägen 9, Stockholm, 115 21, Sweden
Lysverket,Rasmus Meyers Allé 9, Bergen, 5015, Norway
Grand Royal,Torvegade 9D, Vejle, 7100, Denmark
Mon Oncle,Universitetsgata 9, Oslo, 0164, Norway
Knystaforsen,Rydöforsvägen 4, Rydöbruk, 31442, Sweden
Syttende,Nørre Havnegade 23, Sønderborg, 6400, Denmark
ARO,Oesterbro 32, Odense, 5000, Denmark
Stallen,Underhaugsveien 28, Oslo, 0354, Norway
Frederiksminde,Klosternakken 8, Præstø, 4720, Denmark
Frantzén,Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden
Ekstedt,Humlegårdsgatan 17, Stockholm, 114 46, Sweden
Marchal,Kongens Nytorv 34, Copenhagen, 1050 K, Denmark
Hot Shop,Københavngata 18, Oslo, 0566, Norway
Tri,Vesterhavsvej 5A, Agger, 7770, Denmark
Speilsalen,Dronningens gate 5, Trondheim, 7011, Norway
Alouette,Sturlasgade 14P, Copenhagen, 2300 S, Denmark
bhoga,Norra Hamngatan 10, Gothenburg, 411 14, Sweden
Credo,Ladeveien 9, Trondheim, 7066, Norway
Sushi Sho,Upplandsgatan 45, Stockholm, 113 28, Sweden
À L'aise,Essendrops gate 6, Oslo, 0368, Norway
Vollmers,Tegelgårdsgatan 5, Malmo, 211 33, Sweden
Kaskis,Kaskenkatu 6A, Turku, 20700, Finland
Olo,Pohjoisesplanadi 5, Helsinki, 00170, Finland
Kontrast,Maridalsveien 15, Oslo, 0175, Norway
Domæne,Gødstrupvej 60, Gødstrup, Herning, 7400, Denmark
Palace,Eteläranta 10, Helsinki, 00130, Finland
KOKS,Frammi við Gjónna, Leynavatn, 335, Denmark
Geranium,Per Henrik Lings Allé, Parken National Stadium, Copenhagen, 2100 Ø, Denmark
Jordnær,Gentoftegade 29, Copenhagen, 2820, Denmark
ÓX,Laugavegur 55, Reykjavík, 101, Iceland
formel B,Vesterbrogade 182-184, Frederiksberg, Copenhagen, 1800 C, Denmark
Demo,Uudenmaankatu 9-11, Helsinki, 00120, Finland
SAVAGE,Nedre Slottsgate 2, Oslo, 0153, Norway
Schlägergården,Lilleakerveien 30, Oslo, 0283, Norway
ÄNG,Ästad Vingård, Ästad 10, Tvååker, 432 77, Sweden
Ti Trin Ned,Toldkammeret 9, Fredericia, 7000, Denmark
Koka,Viktoriagatan 12, Gothenburg, 411  25, Sweden
LYST,Havneøen 1, Vejle, 7100, Denmark
Gastromé,Grenåvej 127, Risskov, Aarhus, 8240, Denmark
Frederikshøj,Oddervej 19-21, Aarhus, 8000, Denmark
Substans,Marianne Thomsens Gade 2F, Aarhus, 8000, Denmark
Project,Södra Vägen 45, Gothenburg, 412 54, Sweden
Kadeau Copenhagen,Wildersgade 10B, Copenhagen, 1408, Denmark
Domestic,Mejlgade 35B, Aarhus, 8000, Denmark
Kong Hans Kælder,Vingaardsstræde 6, Copenhagen, 1070 K, Denmark
Moss,Blue Lagoon, Norðurljósavegur 11, Grindavík, 240, Iceland
Grön,Albertinkatu 36, Helsinki, 00180, Finland
Ănăn Saigon,89 Ton That Dam, District 1, Ho Chi Minh City, 710000, Vietnam
Hibana by Koki,Basement 1, Capella, 11 Le Phung Hieu, Hoan Kiem, Hanoi, Vietnam
Gia,61 Van Mieu Street, Dong Da, Hanoi, Vietnam
Tầm Vị,4B Yen The Street, Dong Da, Hanoi, Vietnam
Jin Sha,1F, Four Seasons Hotel at West Lake, 5 Lingyin Road, Xihu, Hangzhou, China Mainland
Longjing Manor,399 Longjing Road, Xihu, Hangzhou, China Mainland
Ambré Ciel,1F, Meifan Plaza Proya, 588 Xixi Road, Xihu, Hangzhou, China Mainland
Xin Rong Ji,No. 5, Dazhongxiuqi Village, west area of Xixi National Wetland Park, Tianmushan Road, Yuhang, Hangzhou, China Mainland
Jie Xiang Lou,Seven Villas, 1 Bapanling Road, Xihu, Hangzhou, China Mainland
Guiyu,2-1 Manjuelong Road, Xihu, Hangzhou, China Mainland
NOA Chef’s Hall,Ranna tee 3, Tallinn, 12112, Estonia
180° by Matthias Diether,Staapli 4, Port Noblessner, Tallinn, 10415, Estonia
Al Muntaha,Burj Al Arab Jumeirah, Dubai
Trèsind Studio,Rooftop East, Nakheel Mall - The Palm Jumeirah, Dubai
Torno Subito,W Dubai Hotel, The Palm, West Crescent, Palm Jumeirah, Dubai
Hakkasan,Atlantis The Palm, Crescent Road, The Palm Jumeriah, Dubai
Il Ristorante-Niko Romito,Bulgari Resort Dubai Hotel, Jumeirah Bay Island, Jumeirah 2, Dubai
11 Woodfire,Villa 11, 75B Street, Jumeirah 1, Dubai
avatāra,VOCO Hotel, 2nd Floor, Sheikh Zayed Road, Dubai
Armani Ristorante,Burj Khalifa, 1 Sheikh Mohammed bin Rashid Boulevard, Dubai
Ossiano,Atlantis The Palm, Crescent Road, The Palm Jumeriah, Dubai
Dinner by Heston Blumenthal,Atlantis The Royal, Crescent Road, The Palm Jumeirah, Dubai
STAY by Yannick Alléno,One&Only The Palm Hotel, West Crescent Road, The Palm Jumeirah, Dubai
Tasca by José Avillez,Mandarin Oriental Jumeira Hotel,  Jumeirah Beach Road, Jumeirah 1, Dubai
moonrise,Eden House, 41 Street, Al Satwa, Dubai
Hōseki,Bulgari Resort Dubai Hotel, 4th Floor, Jumeirah Bay Island, Jumeirah 2, Dubai
Lega',133 Hachigawa, Katsuragi, Nara, 639-2163, Japan
L'AUBERGE DE PLAISANCE SAKURAI,2217 Taie, Sakurai, Nara, 633-0044, Japan
Musoan,70-7-1-2 Suimoncho, Nara, Nara, 630-8208, Japan
Ajinokaze Nishimura,1023-3 Odono, Sakurai, Nara, 633-0062, Japan
Chugokusai Naramachi Kuko,913-2 Kideracho, Nara, Nara, 630-8306, Japan
La Terrasse irisée,1-34-7 Ayameike Kita, Nara, Nara, 631-0032, Japan
Koikiryori Aji Manso,2F, 2-26 Tsurumai Higashimachi, Nara, Nara, 631-0021, Japan
Oryori Hirooka,1-7-1 Hommachi, Gojo, Nara, 637-0041, Japan
Sushi Kawashima,291-1 Ishikawacho, Kashihara, Nara, 634-0045, Japan
GOKAN UOGIN,6-4-13 Omiyacho, Nara, Nara, 630-8115, Japan
communico,2-207-1-111 Higashiikoma, Ikoma, Nara, 630-0213, Japan
Matsuki,16-1 Higashijodocho, Nara, Nara, 630-8344, Japan
akordu,70-1-3-1 Suimoncho, Nara, Nara, 630-8208, Japan
Gen,23-2 Fukuchiincho, Nara, Nara, 630-8381, Japan
Oryori Hanagaki,2-13-2 Gakuen Minami, Nara, Nara, 631-0034, Japan
Okada,26-2 Imamikadocho, Nara, Nara, 630-8374, Japan
Tsukumo,968 Kideracho, Nara, Nara, 630-8306, Japan
NARA NIKON,3 Nabeyacho, Nara, Nara, 630-8264, Japan
Wa Yamamura,2-11-15 Shibatsujicho, Nara, Nara, 630-8114, Japan
Ajinotabibito Roman,2F, VIV Bldg, 2-13 Tsurumai Higashimachi, Nara, Nara, 631-0021, Japan
Kaiseki Morimoto,1-4-8 Yagicho, Kashihara, Nara, 634-0078, Japan
Inada,1-10-16 Hikarigaoka, Ikoma, Nara, 630-0141, Japan
Da terra,884 Kawahara, Asukamura, Takaichi-gun, Nara, 634-0141, Japan
LA TRACE,2-1-5 Omiyacho, Nara, Nara, 630-8115, Japan
Tambourine Room by Tristan Brandt,6801 Collins Ave., Miami Beach, 33141, USA
Rocca,323 W. Palm Ave., Tampa, 33602, USA
Soseki,955 W. Fairbanks Ave., Winter Park, 32789, USA
Capa,10100 Dream Tree Blvd., Orlando, 32836, USA
The Surf Club Restaurant,9011 Collins Ave., Surfside, 33154, USA
Los Félix,3413 Main Hwy., Miami, 33133, USA
Hiden,313 NW. 25th St., Miami, 33127, USA
Elcielo Miami,31 SE. 5th St., Miami, 33131, USA
Lilac,500 Channelside Dr., Tampa, 33602, USA
Boia De,5205 NE. 2nd Ave., Miami, 33137, USA
Kadence,1809 Winter Park Rd., Orlando, 32803, USA
L'Atelier de Joël Robuchon Miami,151 NE. 41st St., Miami, 33137, USA
The Den at Azabu Miami Beach,161 Ocean Dr., Miami Beach, 33139, USA
Knife & Spoon,4012 Central Florida Pkwy., Orlando, 32837, USA
Cote Miami,3900 NE. 2nd Ave., Miami, 33137, USA
Le Jardinier Miami,151 NE. 41st St., Miami, 33137, USA
Ariete,3540 Main Hwy., Miami, 33133, USA
Stubborn Seed,101 Washington Ave., Miami Beach, 33139, USA
Koya,807 W. Platt St., Tampa, 33606, USA
Zuicho,GF, The Mercer Central, 29 Jervois Street, Hong Kong
The Demon Celebrity,Basement, South China Building, 1 Wyndham Street, Hong Kong
Rùn,2F, The St. Regis Hotel, 1 Harbour Drive, Hong Kong
Ryota Kappou Modern,21F,  18 On Lan Street, Hong Kong
Octavium,8F, One Chinachem Central, 22 Des Voeux Road Central, Hong Kong
Andō,1F, Somptueux Central, 52-54 Wellington Street, Hong Kong
Mizumi (Macau),GF, Wynn Hotel, Rua Cidade de Sintra, NAPE, Macau
Ta Vie,2F, The Pottinger Hotel, 21 Stanley Street, Hong Kong, Hong Kong SAR China
Hansik Goo,1F, The Wellington, 198 Wellington Street, Hong Kong
Belon,1F, 1-5 Elgin Street, Hong Kong, Hong Kong SAR China
Liu Yuan Pavilion,3F, The Broadway, 54-62 Lockhart Road, Hong Kong
Caprice,6F, Four Seasons Hotel, 8 Finance Street, Hong Kong
Gaddi's,1F, The Peninsula Hotel, Salisbury Road, Hong Kong
Mandarin Grill + Bar,1F, Mandarin Oriental Hotel, 5 Connaught Road Central, Hong Kong, Hong Kong SAR China
Seventh Son (Wan Chai),3F, The Wharney Hotel, 57-73 Lockhart Road, Hong Kong
Sushi Saito,45F, Four Seasons Hotel, 8 Finance Street, Hong Kong
Épure,Shop 403, 4F, Ocean Centre, Harbour City, 3-27 Canton Road, Hong Kong
Yè Shanghai (Tsim Sha Tsui),702, 7F, K11 Musea, 18 Salisbury Road, Hong Kong
Yat Tung Heen,B2F, Eaton Hotel, 380 Nathan Road, Hong Kong
Man Wah,25F, Mandarin Oriental Hotel, 5 Connaught Road Central, Hong Kong
Wing Lei,GF, Wynn Hotel, Rua Cidade de Sintra, NAPE, Macau
Sushi Shikon,7F, The Landmark Mandarin Oriental Hotel, 15 Queen's Road Central, Hong Kong
T'ang Court,1-2F, The Langham Hotel, 8 Peking Road, Hong Kong
Noi,5F, Four Seasons Hotel, 8 Finance Street, Hong Kong, Hong Kong SAR China
Alain Ducasse at Morpheus,3F, Morpheus, City of Dreams, Estrada do Istmo, Macau
Nagamoto,8F, 18 On Lan Street, Hong Kong
Whey,UG Level, The Wellington, 198 Wellington Street, Hong Kong
Ying,11F, Altira Hotel, Avenida de Kwong Tung, Macau
Lai Heen,51F, The Ritz-Carlton, Galaxy, Estrada da Baia de Nossa Senhora da Esperança, Macau
Lung King Heen,4F, Four Seasons Hotel, 8 Finance Street, Hong Kong
Summer Palace,5F, Island Shangri-La Hotel, Pacific Place, Supreme Court Road, Hong Kong, Hong Kong SAR China
The Kitchen,3F, Grand Lisboa Hotel, Avenida de Lisboa, Macau
Bo Innovation,1F, H Code, 45 Pottinger Street, Hong Kong, Hong Kong SAR China
Godenya,UG, 182 Wellington Street, Hong Kong
The Araki,GF, Stable Block, FWD House 1881, 2A Canton Road, Hong Kong, Hong Kong SAR China
Roganic,Shop 8, UG Level, Sino Plaza, 255 Gloucester Road, Hong Kong
Sichuan Moon,GF, North Esplanade, Wynn Palace, Avenida da Nave Desportiva, Macau
Vea,30F, The Wellington, 198 Wellington Street, Hong Kong
Zest by Konishi,28-29F, 18 On Lan Street, Hong Kong, Hong Kong SAR China
Estro,2F, Shanghai Tang Mansion, 1 Duddell Street, Hong Kong
Pang's Kitchen,25 Yik Yam Street, Hong Kong
Robuchon au Dôme,43F, Grand Lisboa Hotel, Avenida de Lisboa, Macau
Petrus,56F, Island Shangri-La Hotel, Pacific Place, Supreme Court Road, Hong Kong
Sun Tung Lok,Shop 401, L4, FoodLoft, Mira Place One, 132 Nathan Road, Hong Kong
Zhejiang Heen,1-3F, Kiu Fu Commercial Building, 300-306 Lockhart Road, Hong Kong, Hong Kong SAR China
Yat Lok,34-38 Stanley Street, Hong Kong
New Punjab Club,GF, World Wide Commercial Building, 34 Wyndham Street, Hong Kong
L'Envol,3F, The St. Regis Hotel, 1 Harbour Drive, Hong Kong
Yardbird,154-158 Wing Lok Street, Hong Kong
Spring Moon,1F, The Peninsula Hotel, Salisbury Road, Hong Kong
Wing Lei Palace,GF, West Esplanade, Wynn Palace, Avenida da Nave Desportiva, Macau
8 1/2 Otto e Mezzo - Bombana,Shop 1031, 1F, The Promenade, Galaxy, Avenida de Cotai, Macau
Shang Palace,Lower Level 1, Kowloon Shangri-La Hotel, 64 Mody Road, Hong Kong
Neighborhood,61-63 Hollywood Road, Hong Kong
Mono,5F, 18 On Lan Street, Hong Kong
The Huaiyang Garden,2206a & 2208, 2F, The Londoner, Estrada do lstmo. s/n, Macau
Tin Lung Heen,102F, The Ritz-Carlton, International Commerce Centre, 1 Austin Road West, Hong Kong
Tate,210 Hollywood Road, Hong Kong
Kam's Roast Goose,226 Hennessy Road, Hong Kong
8 1/2 Otto e Mezzo - Bombana,Shop 202, 2F, Alexandra House, 18 Chater Road, Hong Kong, Hong Kong SAR China
Imperial Treasure Fine Chinese Cuisine (Tsim Sha Tsui),10F, One Peking, 1 Peking Road, Hong Kong
